# method,path,operation_id,tag,security,request_schema,response_schema,success_status,flags,queries
DELETE,/api/v1/access/policies/{id},deleteAccessPoliciesById,access,bearer,,,204,feature-gated,expected_version:integer:true;reason:string:true
DELETE,/api/v1/access/policies/{id}/assignments/{assignmentId},deleteAccessPoliciesByIdAssignmentsByAssignmentId,access,bearer,AccessPolicyAssignmentRemovalInput,,204,feature-gated,
DELETE,/api/v1/access/policies/{id}/field-permissions/{fieldPermissionId},deleteAccessPoliciesByIdFieldPermissionsByFieldPermissionId,access,bearer,,,204,feature-gated,expected_version:integer:true;reason:string:true
DELETE,/api/v1/access/roles/{id},deleteAccessRolesById,access,bearer,,,204,,expected_version:integer:true
DELETE,/api/v1/access/roles/{id}/assignments/{userID},deleteAccessRolesByIdAssignmentsByUserID,access,bearer,GenericMutation,,204,,
DELETE,/api/v1/assets/{id},deleteAssetsById,assets,bearer,,,204,feature-gated,expected_version:integer:false
DELETE,/api/v1/audits/{id},deleteAuditsById,audits,bearer,,,204,feature-gated,
DELETE,/api/v1/audits/{id}/findings/{findingID},deleteAuditsByIdFindingsByFindingID,audits,bearer,,Finding,204,feature-gated,
DELETE,/api/v1/incidents/{id},deleteIncidentsById,incidents,bearer,,,204,feature-gated,
DELETE,/api/v1/integrations/{id},deleteIntegrationsById,integrations,bearer,,,204,,
DELETE,/api/v1/organizations/{id},deleteOrganizationsById,organizations,bearer,,,204,,
DELETE,/api/v1/policies/{id},deletePoliciesById,policies,bearer,,,204,feature-gated,
DELETE,/api/v1/risks/{id},deleteRisksById,risks,bearer,,,204,feature-gated,
DELETE,/api/v1/settings/api-keys/{id},deleteSettingsApiKeysById,integrations,bearer,,,204,feature-gated,
DELETE,/api/v1/settings/notification-channels/{id},deleteSettingsNotificationChannelsById,notifications,bearer,,,204,,
DELETE,/api/v1/settings/notification-rules/{id},deleteSettingsNotificationRulesById,notifications,bearer,,,204,,
DELETE,/api/v1/settings/notification-templates/{id},deleteSettingsNotificationTemplatesById,notifications,bearer,,,204,,
DELETE,/api/v1/vendors/{id},deleteVendorsById,vendors,bearer,,,204,feature-gated,version:integer:true
DELETE,/api/v1/vendors/{id}/certifications/{certificationID},deleteVendorsByIdCertificationsByCertificationID,vendors,bearer,,GenericResponse,200,feature-gated,version:integer:true
DELETE,/api/v1/vendors/{id}/contacts/{contactID},deleteVendorsByIdContactsByContactID,vendors,bearer,,GenericResponse,200,feature-gated,version:integer:true
DELETE,/api/v1/vendors/{id}/contracts/{contractID},deleteVendorsByIdContractsByContractID,vendors,bearer,,GenericResponse,200,feature-gated,version:integer:true
DELETE,/api/v1/vendors/{id}/subprocessors/{subprocessorID},deleteVendorsByIdSubprocessorsBySubprocessorID,vendors,bearer,,GenericResponse,200,feature-gated,version:integer:true
GET,/api/v1/access/audit-log,getAccessAuditLog,access,bearer,,AccessDecisionEvidenceList,200,paginated;feature-gated,subject_id:string:false;resource_type:string:false;resource_id:string:false;action:string:false;decision:string:false;from:string:false;until:string:false
GET,/api/v1/access/decision-evidence,getAccessDecisionEvidence,access,bearer,,AccessDecisionEvidenceList,200,paginated;feature-gated,subject_id:string:false;resource_type:string:false;resource_id:string:false;action:string:false;decision:string:false;from:string:false;until:string:false
GET,/api/v1/access/field-permissions,getAccessFieldPermissions,access,bearer,,AccessFieldPermissionList,200,feature-gated,resource_type:string:false
GET,/api/v1/access/my-permissions,getAccessMyPermissions,access,bearer,,GenericResponse,200,,
GET,/api/v1/access/object-grants,getAccessObjectGrants,access,bearer,,AccessObjectGrantList,200,paginated;feature-gated,subject_id:string:false;resource_type:string:false;resource_id:string:false;status:string:false;active_at:string:false
GET,/api/v1/access/permissions,getAccessPermissions,access,bearer,,GenericResponse,200,,
GET,/api/v1/access/policies,getAccessPolicies,access,bearer,,AccessPolicyList,200,paginated;feature-gated,search:string:false;resource_type:string:false;effect:string:false;active:boolean:false
GET,/api/v1/access/policies/{id},getAccessPoliciesById,access,bearer,,AccessPolicyEnvelope,200,feature-gated,
GET,/api/v1/access/policies/{id}/assignments,getAccessPoliciesByIdAssignments,access,bearer,,AccessPolicyAssignmentList,200,feature-gated,
GET,/api/v1/access/policies/{id}/certifications,getAccessPoliciesByIdCertifications,access,bearer,,AccessPolicyCertificationList,200,paginated;feature-gated,
GET,/api/v1/access/policies/{id}/field-permissions,getAccessPoliciesByIdFieldPermissions,access,bearer,,AccessFieldPermissionList,200,feature-gated,resource_type:string:false
GET,/api/v1/access/roles,getAccessRoles,access,bearer,,ManagedRoleList,200,paginated,search:string:false;include_system:boolean:false
GET,/api/v1/access/roles/{id},getAccessRolesById,access,bearer,,ManagedRole,200,,
GET,/api/v1/access/roles/{id}/assignments,getAccessRolesByIdAssignments,access,bearer,,GenericResponse,200,,
GET,/api/v1/access/roles/{id}/events,getAccessRolesByIdEvents,access,bearer,,GenericResponse,200,paginated,
GET,/api/v1/assets/,getAssets,assets,bearer,,AssetList,200,paginated;feature-gated,asset_type:string:false;criticality:string:false;classification:string:false;status:string:false;owner_user_id:string:false;tag:string:false;search:string:false;processes_personal_data:boolean:false;sort_by:string:false;sort_dir:string:false
GET,/api/v1/assets/stats,getAssetsStats,assets,bearer,,AssetStats,200,feature-gated,
GET,/api/v1/assets/{id},getAssetsById,assets,bearer,,Asset,200,feature-gated,
GET,/api/v1/assets/{id}/events,getAssetsByIdEvents,assets,bearer,,GenericResponse,200,paginated;feature-gated,
GET,/api/v1/audits/,getAudits,audits,bearer,,AuditList,200,paginated;feature-gated,status:string:false;audit_type:string:false;lead_auditor_id:string:false;framework_id:string:false;search:string:false
GET,/api/v1/audits/{id},getAuditsById,audits,bearer,,Audit,200,feature-gated,
GET,/api/v1/audits/{id}/findings,getAuditsByIdFindings,audits,bearer,,PaginatedGeneric,200,paginated;feature-gated,
GET,/api/v1/audits/{id}/findings/stats,getAuditsByIdFindingsStats,audits,bearer,,GenericResponse,200,feature-gated,
GET,/api/v1/audits/{id}/findings/{findingID},getAuditsByIdFindingsByFindingID,audits,bearer,,Finding,200,feature-gated,
GET,/api/v1/auth/me,getAuthMe,auth,bearer,,User,200,,
GET,/api/v1/automation/assets/,getAutomationAssets,automation,apiKey,,AssetList,200,paginated;feature-gated,asset_type:string:false;criticality:string:false;classification:string:false;status:string:false;owner_user_id:string:false;tag:string:false;search:string:false;processes_personal_data:boolean:false;sort_by:string:false;sort_dir:string:false
GET,/api/v1/automation/assets/stats,getAutomationAssetsStats,automation,apiKey,,AssetStats,200,feature-gated,
GET,/api/v1/automation/assets/{id},getAutomationAssetsById,automation,apiKey,,Asset,200,feature-gated,
GET,/api/v1/automation/assets/{id}/events,getAutomationAssetsByIdEvents,automation,apiKey,,GenericResponse,200,paginated;feature-gated,
GET,/api/v1/automation/audits/,getAutomationAudits,automation,apiKey,,AuditList,200,paginated;feature-gated,status:string:false;audit_type:string:false;lead_auditor_id:string:false;framework_id:string:false;search:string:false
GET,/api/v1/automation/audits/{id},getAutomationAuditsById,automation,apiKey,,Audit,200,feature-gated,
GET,/api/v1/automation/audits/{id}/findings,getAutomationAuditsByIdFindings,automation,apiKey,,PaginatedGeneric,200,paginated;feature-gated,
GET,/api/v1/automation/audits/{id}/findings/stats,getAutomationAuditsByIdFindingsStats,automation,apiKey,,GenericResponse,200,feature-gated,
GET,/api/v1/automation/audits/{id}/findings/{findingID},getAutomationAuditsByIdFindingsByFindingID,automation,apiKey,,Finding,200,feature-gated,
GET,/api/v1/automation/controls/,getAutomationControls,automation,apiKey,,ControlList,200,paginated;feature-gated,
GET,/api/v1/automation/controls/{id},getAutomationControlsById,automation,apiKey,,Control,200,feature-gated,
GET,/api/v1/automation/controls/{id}/evidence,getAutomationControlsByIdEvidence,automation,apiKey,,ControlEvidenceList,200,paginated;feature-gated,
GET,/api/v1/automation/frameworks/,getAutomationFrameworks,automation,apiKey,,FrameworkList,200,paginated;feature-gated,
GET,/api/v1/automation/frameworks/{id},getAutomationFrameworksById,automation,apiKey,,Framework,200,feature-gated,
